Downloaded from wid.world on 26-03-2026 at 11:38:57
Percentile ;Year ;"rhweal_z_KR
Net personal wealth
P0-100 | Top 10 / Bottom 50 ratio | adults | equal split
Korea";"rhweal_z_US
Net personal wealth
P0-100 | Top 10 / Bottom 50 ratio | adults | equal split
USA"
p0p100;1980;123.3309;331.7515
p0p100;1981;122.8989;277.1309
p0p100;1982;123.5334;201.8064
p0p100;1983;123.0715;182.1731
p0p100;1984;122.462;227.5177
p0p100;1985;121.3514;202.8472
p0p100;1986;121.0918;197.4764
p0p100;1987;122.151;167.0976
p0p100;1988;125.6551;179.3983
p0p100;1989;125.3314;177.4892
p0p100;1990;125.649;194.36
p0p100;1991;125.0129;197.0414
p0p100;1992;124.2295;240.3401
p0p100;1993;123.5698;248.6391
p0p100;1994;123.1977;290.4311
p0p100;1995;124.7781;355.223
p0p100;1996;124.5035;424.5645
p0p100;1997;123.238;614.2582
p0p100;1998;121.717;674.6408
p0p100;1999;122.2475;532.9901
p0p100;2000;122.2409;558.3606
p0p100;2001;120.2012;550.1628000000001
p0p100;2002;139.9855;549.9998
p0p100;2003;141.6886;803.9613
p0p100;2004;149.9073;888.4305
p0p100;2005;151.9237;737.9511
p0p100;2006;139.1883;1881.8878
p0p100;2007;160.769;-885.2341
p0p100;2008;185.826;-290.4287
p0p100;2009;210.7287;-196.2782
p0p100;2010;264.308;-200.1536
p0p100;2011;200.1446;-207.0586
p0p100;2012;190.3721;-226.3335
p0p100;2013;186.2537;-310.1682
p0p100;2014;188.8569;-469.7739
p0p100;2015;192.0892;-653.1464000000001
p0p100;2016;193.0714;-913.9605
p0p100;2017;196.7669;-11602.9775
p0p100;2018;197.3709;5808.1245
p0p100;2019;190.5867;1629.4376
p0p100;2020;191.9761;991.1762
p0p100;2021;196.2919;454.293
p0p100;2022;193.2391;369.5085
p0p100;2023;191.9485;364.1068
p0p100;2024;192.5287;363.9536
