Percentile ;Year ;"rhweal_999_j_KR
Net personal wealth
Total population | Top 10 / Bottom 50 ratio | all ages | equal split
Korea";"rhweal_999_j_JP
Net personal wealth
Total population | Top 10 / Bottom 50 ratio | all ages | equal split
Japan";"rhweal_999_j_US
Net personal wealth
Total population | Top 10 / Bottom 50 ratio | all ages | equal split
USA";"rhweal_999_j_DK
Net personal wealth
Total population | Top 10 / Bottom 50 ratio | all ages | equal split
Denmark"
pall;1980;123.3309;57.793;331.7515;39.7986
pall;1981;122.8989;57.2639;277.1309;54.1531
pall;1982;123.5334;57.4416;201.8064;36.50080000000001
pall;1983;123.0715;57.5514;182.1731;27.9458
pall;1984;122.462;57.9997;227.5177;28.5512
pall;1985;121.3514;58.9761;202.8472;31.4884
pall;1986;121.0918;59.4099;197.4764;54.3658
pall;1987;122.151;60.7482;167.0976;299.7942
pall;1988;125.6551;62.7441;179.3983;5655.9727
pall;1989;125.3314;62.9971;177.4892;-2761.7615
pall;1990;125.649;63.60700000000001;194.36;-267.1179
pall;1991;125.0129;61.9143;197.0415;-731.3263000000001
pall;1992;124.2295;58.7447;240.3401;-366.5482
pall;1993;123.5698;58.9768;248.6391;316.73
pall;1994;123.1977;59.2608;290.4311;148.7233
pall;1995;124.7781;59.54470000000001;355.223;98.06360000000001
pall;1996;124.5035;60.29790000000001;424.5645;101.1407
pall;1997;123.238;59.8341;614.2582;145.7817
pall;1998;121.717;60.0874;674.6408;150.1994
pall;1999;122.2475;60.69240000000001;532.9902000000001;111.0519
pall;2000;122.2409;61.3389;558.3606;76.6994
pall;2001;120.2012;61.734;550.1628000000001;80.8568
pall;2002;139.9855;62.73070000000001;549.9998;111.9519
pall;2003;141.6886;63.4176;803.9612000000001;74.3057
pall;2004;149.9073;64.33670000000001;888.4304000000001;61.0271
pall;2005;151.9237;64.6534;737.9511;49.6726
pall;2006;139.1883;64.91120000000001;1881.8878;46.0691
pall;2007;160.769;65.13510000000001;-885.2341;47.7454
pall;2008;185.826;64.0774;-290.4287;51.0303
pall;2009;210.7287;63.00530000000001;-196.2782;85.0922
pall;2010;264.308;63.7014;-200.1536;73.7317
pall;2011;200.1446;63.55860000000001;-207.0586;84.8148
pall;2012;190.3721;63.6449;-226.3335;59.79040000000001
pall;2013;186.2537;63.78440000000001;-310.1682;61.3371
pall;2014;188.8569;63.75810000000001;-469.7739;62.5196
pall;2015;192.0892;63.8371;-653.1464000000001;61.9076
pall;2016;193.0714;63.78870000000001;-913.9605;62.2905
pall;2017;196.7669;63.7231;-11602.9775;63.0763
pall;2018;197.3709;63.745;5808.1245;63.3521
pall;2019;190.5867;63.7406;1629.4377;62.5727
pall;2020;191.9761;63.7362;991.1762;62.5692
pall;2021;196.2919;63.8586;454.293;63.4375
pall;2022;193.2391;63.72750000000001;369.5085;63.23260000000001
pall;2023;191.9485;63.7475;364.1068;61.7899
pall;2024;192.5287;63.92140000000001;363.9536;62.1171
